,url,start_time,end_time,class_label
150,j2qlkT0vPLg, 21.000, 31.000,Animal
151,1d4zDf3yQvQ, 21.000, 31.000,Animal
152,jRmz0cCQ6kY, 20.000, 30.000,Animal
153,67lBgf1brog, 30.000, 40.000,Animal
154,nMIlGQGgyWU, 10.000, 20.000,Animal
155,3v-TPYkiCts, 30.000, 40.000,Animal
156,a0M-A9ypbDA, 160.000, 170.000,Animal
157,b9Jzj2cmWvQ, 10.000, 20.000,Animal
158,Xx8Yllb7hw8, 18.000, 28.000,Animal
159,8zHS_GHkfsI, 50.000, 60.000,Animal
160,0rS2_1cmxn4, 30.000, 40.000,Animal
161,l465g01Qark, 80.000, 90.000,Animal
162,a23lT9ONEQc, 10.000, 20.000,Animal
163,9NYKsVWJSqM, 470.000, 480.000,Animal
164,Ba-TdpvaJn8, 80.000, 90.000,Animal
165,OgjNRwKXrFw, 30.000, 40.000,Animal
166,mA6oSIOuZFs, 30.000, 40.000,Animal
167,4cbh7Rd9Fwk, 130.000, 140.000,Animal
168,Ghkjr_CYOQA, 30.000, 40.000,Animal
169,RsixXWX-tUY, 30.000, 40.000,Animal
170,0geFG8tCbrc, 0.000, 9.000,Animal
171,2v79k1j9KJk, 200.000, 210.000,Animal
172,0BzKPzhMkM4, 0.000, 10.000,Animal
173,gHyTgM-qFl0, 170.000, 180.000,Animal
174,-xf0GQaDTs0, 50.000, 60.000,Animal
175,3elpQkttu2g, 30.000, 40.000,Animal
176,rNDme5dCs5o, 10.000, 20.000,Animal
177,SbXyRN0DD-g, 80.000, 90.000,Animal
178,oYkf6h8LcNU, 60.000, 70.000,Animal
179,29FB7u0Mz_c, 30.000, 40.000,Animal
180,7fUEAw_H1xw, 50.000, 60.000,Animal
181,HOmeQ2kQwsQ, 220.000, 230.000,Animal
182,fiJIhp8r9HU, 0.000, 10.000,Animal
183,KaGE6tlf0us, 30.000, 40.000,Animal
184,TllqXAluGIA, 250.000, 260.000,Animal
185,6bKNHxKJm1o, 90.000, 100.000,Animal
186,UaElz4o1sV0, 20.000, 30.000,Animal
187,-W7fVjhTeeA, 30.000, 40.000,Animal
188,3DJJ-0Xts50, 0.000, 10.000,Animal
189,jgnai0oEVyk, 200.000, 210.000,Animal
190,pH1CMN4dh3M, 220.000, 230.000,Animal
191,M9OU564yDic, 10.000, 20.000,Animal
192,2c5VU69225M, 30.000, 40.000,Animal
193,Ajxu-9dghvI, 30.000, 40.000,Animal
194,2_07VckX0oU, 21.000, 31.000,Animal
195,a53tNbTSxVw, 30.000, 40.000,Animal
196,cuD__4RIBbs, 70.000, 80.000,Animal
197,12E5xKe6H_Q, 80.000, 90.000,Animal
198,DaixVb3hnsw, 30.000, 40.000,Animal
199,YPP6CKqQ7Fk, 70.000, 80.000,Animal
200,0_XFh5-nxQw, 30.000, 40.000,Animal
201,MTD9ILOGm1U, 50.000, 60.000,Animal
202,vZjJ2U5MNNU, 20.000, 30.000,Animal
203,VsSU400z4BM, 150.000, 160.000,Animal
204,-mkhjII5LwI, 180.000, 190.000,Animal
205,h07GkG7it50, 30.000, 40.000,Animal
206,vbTzalwoVZ0, 10.000, 20.000,Animal
207,iEeyQgvdv50, 30.000, 40.000,Animal
208,ad9TJzFpVVg, 60.000, 70.000,Animal
209,XQ3kyAETADs, 20.000, 30.000,Animal
210,7t2_NLgUiyM, 30.000, 40.000,Animal
211,3aQmYeEOQdQ, 20.000, 30.000,Animal
212,eQcqGYi9zUU, 30.000, 40.000,Animal
213,AezPWC3SeO8, 160.000, 170.000,Animal
214,U6AXEoK4myA, 0.000, 7.000,Animal
215,wuGyLfGwd8U, 20.000, 30.000,Animal
216,C3pLabYbVSE, 270.000, 280.000,Animal
217,CjqLPw2DIis, 20.000, 30.000,Animal
218,0rJwumFz1O0, 30.000, 40.000,Animal
219,ebmkXBq5gOg, 20.000, 30.000,Animal
220,3OgmNR1UCgM, 25.000, 35.000,Animal
221,zx7yOLl8bu4, 20.000, 30.000,Animal
222,6RfGJkbggsw, 30.000, 40.000,Animal
223,-2fwxUR-qxQ, 90.000, 100.000,Animal
224,41M325kO4jw, 0.000, 10.000,Animal
225,0yHOLg98Q1A, 30.000, 40.000,Animal
226,lMKZEhrKhoo, 80.000, 90.000,Animal
227,JnmDjqU7eYQ, 50.000, 60.000,Animal
228,1x2dJASMVi4, 30.000, 40.000,Animal
229,4tzhh8bFpYI, 20.000, 30.000,Animal
230,rJulbxErvPk, 50.000, 60.000,Animal
231,N5JOPhGNtfk, 30.000, 40.000,Animal
232,4pP7WvGmGy8, 30.000, 40.000,Animal
233,JTGPavUwTC8, 40.000, 50.000,Animal
234,KwTVdY-__pk, 350.000, 360.000,Animal
235,RafiX9hB86U, 160.000, 170.000,Animal
236,x8gDwZsGKyI, 10.000, 20.000,Animal
237,-opg33-301Y, 30.000, 40.000,Animal
238,k4GeSA0LPV4, 30.000, 40.000,Animal
239,1bE_vX8Oy80, 30.000, 40.000,Animal
240,zuY3AepsOPw, 10.000, 20.000,Animal
241,pGeUC6fpRFk, 60.000, 70.000,Animal
242,0qzvvMd5dvo, 30.000, 40.000,Animal
243,py1DEBgEKzY, 20.000, 30.000,Animal
244,atkm0dFps_Y, 40.000, 50.000,Animal
245,tHto3ZXBVB8, 50.000, 60.000,Animal
246,Hj_F6t8XitM, 150.000, 160.000,Animal
247,dv11msvxVco, 60.000, 70.000,Animal
248,WCwNNq9N-dc, 40.000, 50.000,Animal
249,L842bhshPQw, 300.000, 310.000,Animal
250,hBR0jNxzbQI, 100.000, 110.000,Animal
251,r5smfrf6dko, 30.000, 40.000,Animal
252,5yo90PoKOT8, 50.000, 60.000,Animal
253,Ws6hQi0Bhyg, 0.000, 10.000,Animal
254,9nn7njUNYP8, 30.000, 40.000,Animal
255,Up-x44KE984, 30.000, 40.000,Animal
256,gntkUOw8GXY, 40.000, 50.000,Animal
257,qF-ic9KOWVs, 40.000, 50.000,Animal
258,s_xqaHzQ8tk, 6.000, 16.000,Animal
259,o8GE-EnIfFk, 21.000, 31.000,Animal
260,f7HEcAl8PvM, 10.000, 20.000,Animal
261,5otkLdHAj9M, 0.000, 10.000,Animal
262,8zGhgP2Tqv0, 80.000, 90.000,Animal
263,j6Msa2T6tWc, 60.000, 70.000,Animal
264,r4h1pJ6Pp-w, 210.000, 220.000,Animal
265,_epea855IAA, 20.000, 30.000,Animal
266,UYwMxRpWRI4, 20.000, 30.000,Animal
267,5cWOyow_Drs, 30.000, 40.000,Animal
268,-FL784R2DJk, 21.000, 31.000,Animal
269,kFiuQXKW8FI, 30.000, 40.000,Animal
270,5r-P4IvNUV4, 22.000, 32.000,Animal
271,J4yyeOZd9wo, 120.000, 130.000,Animal
272,P3EuOWKwJ-0, 40.000, 50.000,Animal
273,J6tmXY_K7AI, 21.000, 31.000,Animal
274,QOKylcK8tDs, 40.000, 50.000,Animal
275,GRVdV2BUfI8, 17.000, 27.000,Animal
276,CXAsYhZgJ_k, 30.000, 40.000,Animal
277,qZtQuU4cqXk, 18.000, 28.000,Animal
278,VCM1PMD8rd4, 260.000, 270.000,Animal
279,16qY5bRnCIA, 30.000, 40.000,Animal
280,2tvbXTF_MOA, 30.000, 40.000,Animal
281,-Ln9HQ6lLtI, 50.000, 60.000,Animal
282,zzRuoMKmuus, 40.000, 50.000,Animal
283,YndDmhogyDQ, 150.000, 160.000,Animal
284,fA6ej89Neqk, 470.000, 480.000,Animal
285,6xqkuQRACV4, 30.000, 40.000,Animal
286,qHDCNzaO208, 20.000, 30.000,Animal
287,PcELumLdzEs, 100.000, 110.000,Animal
288,vWeHunSe2Ds, 30.000, 40.000,Animal
289,bFsP__Yek1M, 120.000, 130.000,Animal
290,vFw2YueSP70, 80.000, 90.000,Animal
291,gwHKZHJbPuY, 30.000, 40.000,Animal
292,IyBazGaHPeo, 30.000, 40.000,Animal
293,_6UyA6asXTs, 20.000, 30.000,Animal
294,ccOCXjOhpMA, 10.000, 20.000,Animal
295,V2FkRSZuw8g, 50.000, 60.000,Animal
296,8vQCRWDGLTM, 30.000, 40.000,Animal
297,nEX0fm0YJ0Q, 260.000, 270.000,Animal
298,z5iUE5h0EPs, 30.000, 40.000,Animal
299,kf7nZKZOeC4, 60.000, 70.000,Animal
300,-nbyQ5k5aFQ, 30.000, 40.000,Animal
301,nVZnzbux0h0, 70.000, 80.000,Animal
302,CB6nhVyq6IE, 40.000, 50.000,Animal
303,-313pdpHsmU, 17.000, 27.000,Animal
304,KCaoRSmDMPo, 0.000, 10.000,Animal
305,GKE59cTtpDw, 40.000, 50.000,Animal
306,3S8bTR5VAp0, 30.000, 40.000,Animal
307,SnlqIuTnZIY, 0.000, 10.000,Animal
308,oqArqWwzJVg, 50.000, 60.000,Animal
309,uFMpMXFc2Gg, 10.000, 20.000,Animal
310,by05fJTAgNc, 120.000, 130.000,Animal
311,52ZQv90ZM3k, 29.000, 39.000,Animal
312,f9QX2tR_Nno, 0.000, 7.000,Animal
313,zLzfzMAroeI, 120.000, 130.000,Animal
314,v_x4FrcZzl4, 16.000, 26.000,Animal
315,Y9Jm5uh8O1o, 60.000, 70.000,Animal
316,7Y8n4X8uwn4, 20.000, 30.000,Animal
317,HSkqFeQFAxg, 10.000, 20.000,Animal
318,e6TvkVgQgAc, 30.000, 40.000,Animal
319,EkDGjzGYvqM, 90.000, 100.000,Animal
320,y2ZBGpgbhHM, 30.000, 40.000,Animal
321,81C5ysSrqyY, 0.000, 10.000,Animal
322,Xx6RuHV_1Fs, 180.000, 190.000,Animal
323,fcgdHQBxjxs, 10.000, 20.000,Animal
324,LT0djj5OePM, 0.000, 10.000,Animal
325,a1WaYKwLN10, 20.000, 30.000,Animal
326,B3xnfcbCD1c, 80.000, 90.000,Animal
327,bzfxmdKTAYo, 280.000, 290.000,Animal
328,G0s3abTPeTU, 10.000, 20.000,Animal
329,fT9flI0MfkM, 27.000, 37.000,Animal
330,FSlapxMU8cU, 100.000, 110.000,Animal
331,qLZ42n6Jxaw, 20.000, 30.000,Animal
332,ML9hcu4kD1s, 380.000, 390.000,Animal
333,5lFYunpk928, 30.000, 40.000,Animal
334,ZcULeCFl-1o, 30.000, 40.000,Animal
335,L9cQXN2y6u0, 20.000, 30.000,Animal
336,R3C1n611idY, 90.000, 100.000,Animal
337,AQ3J03yzNNs, 9.000, 19.000,Animal
338,sjgVRF32OJ8, 140.000, 150.000,Animal
339,Q87pe3b0D4s, 80.000, 90.000,Animal
340,8VavzRcNdIc, 40.000, 50.000,Animal
341,ACPS0KUF9qw, 30.000, 40.000,Animal
342,kmRKBcAgEjA, 0.000, 8.000,Animal
343,5bvSCbOh4YI, 100.000, 110.000,Animal
344,O-ztZagZoio, 70.000, 80.000,Animal
345,Isk61EwYZFs, 30.000, 40.000,Animal
346,TzcmiQdd7ac, 30.000, 40.000,Animal
347,CEEP0J0ifsc, 30.000, 40.000,Animal
348,OP4jC9XYZ20, 30.000, 40.000,Animal
349,H3w3I92ZFJc, 60.000, 70.000,Animal
350,gWzN4fY-1Qw, 190.000, 200.000,Animal
351,n-mbJ1bnOog, 30.000, 40.000,Animal
352,pNCHXHn9KFc, 30.000, 40.000,Animal
353,dWYTQ7z8HVc, 10.000, 20.000,Animal
354,XaFCJaP_X5k, 160.000, 170.000,Animal
355,nSVYI3hbDUA, 10.000, 20.000,Animal
356,YRRlR-GSH7Y, 30.000, 40.000,Animal
357,-WPI0qzLuo8, 70.000, 80.000,Animal
358,15nVe6RwUNM, 19.000, 29.000,Animal
359,78nshhXgM6E, 30.000, 40.000,Animal
360,yB1ztHfFBRg, 0.000, 10.000,Animal
361,7lCBWha_5zY, 30.000, 40.000,Animal
362,O4ZjbfTbGgI, 0.000, 10.000,Animal
363,5RX76Hw5at4, 30.000, 40.000,Animal
364,U3CAjsm1sec, 30.000, 40.000,Animal
365,JKVLasq18Cg, 0.000, 10.000,Animal
366,ahpfVRUNr-Y, 30.000, 40.000,Animal
367,-m_rnUuUliM, 3.000, 13.000,Animal
368,7CY-C7M8aGk, 30.000, 40.000,Animal
369,8ZcAYJtFjvk, 30.000, 40.000,Animal
370,25fREAk9xk8, 30.000, 40.000,Animal
371,x_KjGfa5p9I, 90.000, 100.000,Animal
372,wO6v4mXusOY, 10.000, 20.000,Animal
373,7Tw4iNnIssY, 30.000, 40.000,Animal
374,x8Ej1Ry4hqQ, 90.000, 100.000,Animal
375,TFaZd2UEgEk, 180.000, 190.000,Animal
376,0CEQ565DH_A, 30.000, 40.000,Animal
377,kAWAs_7SaKw, 0.000, 10.000,Animal
378,Sb6L-Y1THKY, 80.000, 90.000,Animal
379,ybqr5prFdNo, 60.000, 70.000,Animal
380,qkQ7ooIUNd0, 60.000, 70.000,Animal
381,vJ6_6CM22sk, 30.000, 40.000,Animal
382,cor0hlGY8SI, 240.000, 250.000,Animal
383,fiN0k_P7nLg, 40.000, 50.000,Animal
384,PUPQY9S18bg, 50.000, 60.000,Animal
385,84fNAAAvHIY, 120.000, 130.000,Animal
386,AtE3wLQFRNM, 100.000, 110.000,Animal
387,Dw2-L8th6cY, 80.000, 90.000,Animal
388,oi_JHNcg-3g, 100.000, 110.000,Animal
389,gYyHeYSnJ8I, 30.000, 40.000,Animal
390,G6xF-1LYgn4, 520.000, 530.000,Animal
391,bckQn5FUHCg, 130.000, 140.000,Animal
392,9gRl6QmjVaU, 40.000, 50.000,Animal
393,G0-81trudY4, 0.000, 10.000,Animal
394,OGziA5OJRPE, 26.000, 36.000,Animal
395,ijn7jThKVSA, 150.000, 160.000,Animal
396,SD2mv3dAKaw, 90.000, 100.000,Animal
397,88hi2RUL7UE, 20.000, 30.000,Animal
398,NJAx-iMwLUE, 51.000, 61.000,Animal
399,0J5qyizLNRk, 29.000, 39.000,Animal
400,EFF-vijzbC4, 80.000, 90.000,Animal
401,C7wYY-mKlYY, 30.000, 40.000,Animal
402,Gd_c3IBoFk4, 20.000, 30.000,Animal
403,NPwuhk2i3tE, 120.000, 130.000,Animal
404,8wsJwCQYCiE, 20.000, 30.000,Animal
405,Xi56bRQ5FOI, 0.000, 4.000,Animal
406,lgKDqPy9OTs, 20.000, 30.000,Animal
407,NAwlH8YIoPg, 40.000, 50.000,Animal
408,q23UfmJsmtM, 30.000, 40.000,Animal
409,SqiGOBD7icM, 20.000, 30.000,Animal
410,6_kEgb36wP8, 330.000, 340.000,Animal
411,cOTdVu0KAMs, 510.000, 520.000,Animal
412,oBrxLggorAw, 40.000, 50.000,Animal
413,MZEa5SJR_98, 10.000, 20.000,Animal
414,YviyRCd9MmA, 20.000, 30.000,Animal
415,FS2A4yYoPXk, 130.000, 140.000,Animal
416,w6ZX68SJZ6Q, 15.000, 25.000,Animal
417,2xobBryGD3A, 0.000, 10.000,Animal
418,8pY4qosFRa0, 80.000, 90.000,Animal
419,1UyoW1YAY28, 40.000, 50.000,Animal
420,zhLOCwHmUC4, 30.000, 40.000,Animal
421,7pUYXhg2INs, 0.000, 10.000,Animal
422,BUVO7Zv4m3U, 10.000, 20.000,Animal
423,43SyKP6oxZU, 30.000, 40.000,Animal
424,2e39TNU5wJo, 60.000, 70.000,Animal
425,CeKSiXN4jzg, 10.000, 20.000,Animal
426,t9fMjl0hPR4, 60.000, 70.000,Animal
427,FHzPiy3AUTY, 0.000, 10.000,Animal
428,kFB0C02vAPA, 410.000, 420.000,Animal
429,k6U2aFOZMMo, 20.000, 30.000,Animal
430,3gjF-cVb_m4, 30.000, 40.000,Animal
431,fr3R33mjaVc, 10.000, 20.000,Animal
432,UJsW0zlARyo, 0.000, 10.000,Animal
433,o-UncWJ78nI, 30.000, 40.000,Animal
434,-yrQB0dIGDk, 0.000, 9.000,Animal
435,kxa9lAL2im4, 70.000, 80.000,Animal
436,y3aV4ft6K7U, 30.000, 40.000,Animal
437,GVJiiriWWWM, 30.000, 40.000,Animal
438,1tJdV9lG8dI, 30.000, 40.000,Animal
439,bV5VbEBECeM, 20.000, 30.000,Animal
440,D9hJ7TvCKqo, 10.000, 20.000,Animal
441,TCylJld2p9g, 40.000, 50.000,Animal
442,o3YrvmJEOXc, 40.000, 50.000,Animal
443,cqMbl4GwZK0, 210.000, 220.000,Animal
444,2uOCHpAzwXI, 30.000, 40.000,Animal
445,J1JlkgkzJVE, 30.000, 40.000,Animal
446,s2nAHQ9J6Ik, 160.000, 170.000,Animal
447,ojniu8bunM4, 0.000, 10.000,Animal
448,gscaZnbR0y4, 190.000, 200.000,Animal
449,h5EMZ6mhCkA, 80.000, 90.000,Animal
450,d88trvN-h-I, 0.000, 10.000,Animal
451,83WO6K7vdMg, 90.000, 100.000,Animal
452,O66YhUfnkeg, 120.000, 130.000,Animal
453,VsRoVtkLLRw, 110.000, 120.000,Animal
454,TwpJtgXZp9Q, 20.000, 30.000,Animal
455,w-cz7CMd4RU, 60.000, 70.000,Animal
456,f7uCCp02FMM, 0.000, 10.000,Animal
457,trIIMpReMXk, 0.000, 10.000,Animal
458,3CRA6m_H5e4, 170.000, 180.000,Animal
459,CkD5IhdGU9U, 40.000, 50.000,Animal
460,AOBjD68ONNg, 40.000, 50.000,Animal
461,MVnHeI1iak8, 130.000, 140.000,Animal
462,R4fXcbWFhJg, 10.000, 20.000,Animal
463,4hQgFX4vxi4, 30.000, 40.000,Animal
464,VnyAe6Cq6rA, 40.000, 50.000,Animal
465,pKXL2fzkyS0, 30.000, 40.000,Animal
466,-TttpqKo1lg, 110.000, 120.000,Animal
467,8r0OpfBafAk, 11.000, 21.000,Animal
468,1leM1Pa4tQM, 14.000, 24.000,Animal
469,JHuJjNy47vY, 30.000, 40.000,Animal
470,RUNozQyH5_A, 17.000, 27.000,Animal
471,0KLgGMUJYaU, 90.000, 100.000,Animal
472,b9lMaryPJe4, 100.000, 110.000,Animal
473,Op3_uB4DxMY, 0.000, 10.000,Animal
474,IQk3ZkMV6PY, 50.000, 60.000,Animal
475,YkIN5ZRoDl4, 40.000, 50.000,Animal
476,Ea6Dw4y58_g, 30.000, 40.000,Animal
477,HWBzPVfLFHg, 20.000, 30.000,Animal
478,-hjLbaGh5ZA, 22.000, 32.000,Animal
479,Kw8QJdiV0co, 50.000, 60.000,Animal
480,vt6QyrVcE4s, 40.000, 50.000,Animal
481,mH7nj0wCVCk, 140.000, 150.000,Animal
482,ttTYxYxRMGk, 10.000, 20.000,Animal
483,1vSXAU3zPbE, 25.000, 35.000,Animal
484,Qn75sDkBDQ0, 70.000, 80.000,Animal
485,RY0BQRF-Dbw, 40.000, 50.000,Animal
486,X4CtHeumDz4, 0.000, 10.000,Animal
487,1HuBawOzYb0, 120.000, 130.000,Animal
488,Sbo4kYSnOuk, 10.000, 20.000,Animal
489,qadlGBVCCE4, 10.000, 20.000,Animal
490,0NGSrwioYjA, 30.000, 40.000,Animal
491,BDYPBHGz9pk, 50.000, 60.000,Animal
492,5_XNklNJ0H4, 0.000, 10.000,Animal
493,1dgBCUaZVAQ, 21.000, 31.000,Animal
494,5yWnu3oET44, 21.000, 31.000,Animal
495,hBV4-6Dr760, 30.000, 40.000,Animal
496,3mVON9vvYsA, 30.000, 40.000,Animal
497,ILrzo5i0xAc, 150.000, 160.000,Animal
498,3CS2JxoplKg, 30.000, 40.000,Animal
499,J5nfSVNhAfY, 10.000, 20.000,Animal
500,dGcKMP-GkgI, 40.000, 50.000,Animal
501,UIFqp_lV-v0, 10.000, 20.000,Animal
502,afuOdgDdKyo, 0.000, 7.000,Animal
503,RO3yGNDjgq4, 18.000, 28.000,Animal
504,XMf0Ma-NKdk, 0.000, 10.000,Animal
